"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Extension Functionality","2","0","Block GenAI Applications","0"
"0","","0","Extension Functionality","1","0","Allow GenAI Applications","0"
