"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2156","test_site_is_allowed[chatgpt.com-https://chatgpt.com]","tests","2026-04-29","passed","2026-04-29","","test_extensions","",""
"","471","test_site_is_blocked[claude.ai-https://claude.ai]","tests","2026-04-29","passed","2026-04-29","","test_extensions","",""
"","1669","test_site_is_blocked[gemini.google.com-https://gemini.google.com]","tests","2026-04-29","passed","2026-04-29","","test_extensions","",""
